timestamp,energy_demand_kw,temperature_c,cloud_cover_pct,wind_speed_ms,humidity_pct,solar_output_kw,battery_level_pct
2024-01-01 00:00:00,120.5,8.2,20,3.1,65,0.0,80.0
2024-01-01 01:00:00,115.3,7.8,25,2.8,67,0.0,78.5
2024-01-01 02:00:00,108.7,7.5,30,2.5,70,0.0,77.0
2024-01-01 03:00:00,102.1,7.2,35,2.2,72,0.0,75.5
2024-01-01 04:00:00,98.4,7.0,40,2.0,74,0.0,74.0
2024-01-01 05:00:00,102.8,7.3,38,2.3,73,0.0,72.5
2024-01-01 06:00:00,118.6,8.0,32,2.8,68,5.2,71.0
2024-01-01 07:00:00,145.2,9.5,28,3.2,63,18.5,70.2
2024-01-01 08:00:00,178.9,11.2,22,3.8,58,42.3,72.5
2024-01-01 09:00:00,198.3,13.5,18,4.2,54,68.7,76.8
2024-01-01 10:00:00,215.6,15.8,15,4.8,50,88.4,81.2
2024-01-01 11:00:00,228.4,17.2,12,5.1,47,98.2,85.5
2024-01-01 12:00:00,235.7,18.5,10,5.4,44,102.5,88.0
2024-01-01 13:00:00,230.2,18.8,12,5.2,45,99.8,86.3
2024-01-01 14:00:00,222.8,18.2,15,5.0,47,92.4,84.7
2024-01-01 15:00:00,218.5,17.5,20,4.7,50,78.6,83.2
2024-01-01 16:00:00,225.3,16.8,25,4.4,53,58.3,81.5
2024-01-01 17:00:00,238.7,15.5,30,4.0,57,32.1,79.8
2024-01-01 18:00:00,248.2,14.2,35,3.6,61,12.4,77.2
2024-01-01 19:00:00,242.5,12.8,40,3.2,64,2.1,74.8
2024-01-01 20:00:00,235.8,11.5,42,2.9,67,0.0,72.5
2024-01-01 21:00:00,218.4,10.5,44,2.7,69,0.0,70.8
2024-01-01 22:00:00,185.6,9.8,38,2.5,70,0.0,69.2
2024-01-01 23:00:00,148.3,9.2,30,2.8,68,0.0,67.8
2024-01-02 00:00:00,122.4,8.8,25,3.0,66,0.0,66.5
2024-01-02 01:00:00,116.8,8.5,28,2.7,68,0.0,65.2
2024-01-02 02:00:00,110.2,8.2,32,2.4,70,0.0,63.9
2024-01-02 03:00:00,104.5,8.0,36,2.2,72,0.0,62.6
2024-01-02 04:00:00,100.1,7.8,40,2.0,74,0.0,61.3
2024-01-02 05:00:00,104.3,8.1,38,2.3,73,0.0,60.0
2024-01-02 06:00:00,120.5,8.8,30,2.9,68,6.1,59.2
2024-01-02 07:00:00,148.6,10.2,24,3.4,63,22.3,59.8
2024-01-02 08:00:00,182.4,12.0,18,4.0,58,48.7,62.4
2024-01-02 09:00:00,202.8,14.2,14,4.5,54,75.2,67.1
2024-01-02 10:00:00,220.3,16.5,12,5.0,50,94.8,72.5
2024-01-02 11:00:00,232.7,18.0,10,5.3,47,104.6,78.2
2024-01-02 12:00:00,240.1,19.2,8,5.6,44,108.3,83.4
2024-01-02 13:00:00,234.5,19.5,10,5.4,45,105.1,87.6
2024-01-02 14:00:00,226.9,18.8,13,5.2,47,97.5,91.0
2024-01-02 15:00:00,222.3,18.0,18,4.9,50,83.2,92.5
2024-01-02 16:00:00,229.7,17.2,23,4.6,53,62.8,91.8
2024-01-02 17:00:00,243.2,15.8,28,4.2,57,36.4,90.2
2024-01-02 18:00:00,252.8,14.5,33,3.8,61,14.8,88.5
2024-01-02 19:00:00,246.4,13.0,38,3.4,64,2.5,86.8
2024-01-02 20:00:00,239.2,11.8,40,3.1,67,0.0,85.0
2024-01-02 21:00:00,221.8,10.8,42,2.9,69,0.0,83.4
2024-01-02 22:00:00,188.4,10.1,36,2.7,70,0.0,81.8
2024-01-02 23:00:00,151.2,9.5,28,3.0,68,0.0,80.5
2024-01-03 00:00:00,125.6,9.0,22,3.2,65,0.0,79.2
2024-01-03 01:00:00,118.4,8.7,26,2.9,67,0.0,77.8
2024-01-03 02:00:00,112.8,8.4,30,2.6,70,0.0,76.4
2024-01-03 03:00:00,106.2,8.1,34,2.3,72,0.0,75.0
2024-01-03 04:00:00,101.8,7.9,38,2.1,74,0.0,73.6
2024-01-03 05:00:00,106.5,8.2,36,2.4,73,0.0,72.2
2024-01-03 06:00:00,122.8,9.0,28,3.0,68,7.2,71.4
2024-01-03 07:00:00,151.4,10.8,20,3.6,62,26.4,72.0
2024-01-03 08:00:00,186.2,12.8,14,4.2,57,54.8,74.8
2024-01-03 09:00:00,207.4,15.0,10,4.8,53,82.1,79.6
2024-01-03 10:00:00,225.8,17.2,8,5.2,49,101.5,85.2
2024-01-03 11:00:00,238.4,18.8,6,5.5,46,112.3,90.8
2024-01-03 12:00:00,246.5,20.1,5,5.8,43,116.4,95.2
2024-01-03 13:00:00,240.8,20.4,7,5.6,44,112.8,97.4
2024-01-03 14:00:00,233.2,19.6,10,5.4,46,104.2,98.5
2024-01-03 15:00:00,228.5,18.8,15,5.1,49,88.5,98.0
2024-01-03 16:00:00,235.4,17.9,20,4.8,52,67.2,97.1
2024-01-03 17:00:00,249.8,16.4,25,4.4,56,40.5,95.8
2024-01-03 18:00:00,259.6,15.0,30,4.0,60,16.2,94.2
2024-01-03 19:00:00,253.2,13.5,35,3.6,63,2.8,92.5
2024-01-03 20:00:00,246.5,12.2,38,3.2,66,0.0,90.8
2024-01-03 21:00:00,228.2,11.2,40,3.0,68,0.0,89.2
2024-01-03 22:00:00,194.8,10.4,34,2.8,69,0.0,87.6
2024-01-03 23:00:00,156.4,9.7,26,3.1,67,0.0,86.2
2024-01-04 00:00:00,128.2,9.2,20,3.3,64,0.0,84.8
2024-01-04 01:00:00,120.8,8.9,24,3.0,66,0.0,83.4
2024-01-04 02:00:00,114.5,8.6,28,2.7,69,0.0,82.0
2024-01-04 03:00:00,108.4,8.3,32,2.4,71,0.0,80.6
2024-01-04 04:00:00,104.2,8.1,36,2.2,73,0.0,79.2
2024-01-04 05:00:00,108.8,8.4,34,2.5,72,0.0,77.8
2024-01-04 06:00:00,125.2,9.2,26,3.1,67,8.4,77.0
2024-01-04 07:00:00,154.8,11.0,18,3.8,61,30.2,77.8
2024-01-04 08:00:00,190.5,13.2,12,4.4,56,62.4,80.8
2024-01-04 09:00:00,211.8,15.5,8,5.0,52,90.5,85.9
2024-01-04 10:00:00,230.2,17.8,6,5.4,48,110.2,91.7
2024-01-04 11:00:00,242.8,19.4,5,5.7,45,120.8,97.5
2024-01-04 12:00:00,250.4,20.8,4,6.0,42,124.8,100.0
2024-01-04 13:00:00,244.6,21.0,6,5.8,43,120.5,100.0
2024-01-04 14:00:00,237.0,20.2,9,5.6,45,112.0,100.0
2024-01-04 15:00:00,232.2,19.4,14,5.3,48,95.4,99.5
2024-01-04 16:00:00,238.8,18.5,19,5.0,51,72.8,98.8
2024-01-04 17:00:00,253.5,16.9,24,4.6,55,44.8,97.5
2024-01-04 18:00:00,263.5,15.5,29,4.2,59,18.5,95.8
2024-01-04 19:00:00,257.0,14.0,34,3.8,62,3.2,94.2
2024-01-04 20:00:00,250.2,12.7,37,3.4,65,0.0,92.5
2024-01-04 21:00:00,231.8,11.6,39,3.2,67,0.0,90.8
2024-01-04 22:00:00,198.5,10.8,33,3.0,68,0.0,89.2
